ID,LIMIT_BAL,SEX_Male,MARRIAGE,AGE,DEFAULT_JULY,ED_Graduate School,ED_High School,ED_Others,ED_University,ED_Unknown,AVG_BILL_AMOUNT,AVG_PAY_STATUS,AVG_PAY_AMOUNT
15936,140000.0,0,1,39,0,1,0,0,0,0,9561.666666666666,-0.5,7441.166666666667
15248,90000.0,0,1,49,1,0,0,0,1,0,1931.3333333333333,-1.0,2523.0
27163,150000.0,0,1,37,0,1,0,0,0,0,1762.5,-0.6666666666666666,931.8333333333334
13955,160000.0,1,1,38,0,0,1,0,0,0,17635.333333333332,0.0,2260.0
23604,360000.0,1,1,28,0,0,0,0,1,0,833.3333333333334,-0.5,416.6666666666667
19521,280000.0,1,2,32,0,1,0,0,0,0,21692.0,-0.16666666666666666,3383.3333333333335
19991,220000.0,1,1,39,0,0,1,0,0,0,89488.33333333333,-0.16666666666666666,19175.0
11886,20000.0,1,1,44,0,0,1,0,0,0,14654.5,1.5,1753.0
25876,60000.0,0,1,47,0,0,0,0,1,0,48466.666666666664,0.0,10783.333333333334
7831,260000.0,0,1,42,0,0,0,0,1,0,177102.16666666666,0.0,8182.166666666667
7472,50000.0,1,1,47,0,1,0,0,0,0,49117.666666666664,1.3333333333333333,2166.6666666666665
21635,30000.0,1,2,24,0,0,0,0,1,0,16356.333333333334,0.0,4910.333333333333
1578,70000.0,1,1,29,0,0,0,0,1,0,55827.833333333336,0.0,2416.6666666666665
8537,120000.0,1,1,40,0,0,0,0,1,0,86715.83333333333,-0.16666666666666666,2164.5
23639,50000.0,0,1,42,0,0,0,0,1,0,48052.833333333336,0.0,1964.5
16258,110000.0,1,3,55,1,1,0,0,0,0,96948.83333333333,2.0,3316.6666666666665
25708,50000.0,0,2,41,0,0,0,0,1,0,30981.833333333332,0.0,1306.6666666666667
10770,200000.0,0,1,25,0,1,0,0,0,0,154.5,-1.6666666666666667,25.166666666666668
10619,10000.0,0,2,22,0,0,0,0,1,0,9500.666666666666,1.1666666666666667,566.6666666666666
